Label,2022년,2021년,2020년,2019년
수익(매출액),18582770000000.0,13794148000000.0,6413270000000.0,5513089000000.0
매출원가,8136717000000.0,6036421000000.0,5128828000000.0,5517219000000.0
매출총이익,10446053000000.0,7757727000000.0,1284442000000.0,-4130000000.0
판매비와관리비,494498000000.0,380205000000.0,303661000000.0,295564000000.0
영업이익(손실),9951555000000.0,7377522000000.0,980781000000.0,-299694000000.0
기타이익,185417000000.0,213033000000.0,456043000000.0,275763000000.0
기타손실,272334000000.0,128554000000.0,174914000000.0,227144000000.0
금융수익,1984691000000.0,280251000000.0,41414000000.0,82629000000.0
금융원가,1653282000000.0,2431773000000.0,1184686000000.0,419462000000.0
공동기업 및 관계기업투자손익,-12318000000.0,16754000000.0,9155000000.0,1193000000.0
법인세비용차감전순이익(손실),10183729000000.0,5327233000000.0,127793000000.0,-586715000000.0
법인세비용,98290000000.0,-9918000000.0,3827000000.0,3120000000.0
당기순이익(손실),10085439000000.0,5337151000000.0,123966000000.0,-589835000000.0
기타포괄손익,569962000000.0,359624000000.0,-157729000000.0,-22455000000.0
당기손익으로 재분류되지 않는항목(세후기타포괄손익),565327000000.0,357224000000.0,-155763000000.0,-28862000000.0
기타포괄손익-공정가치측정 금융자산평가손익,-4355000000.0,5381000000.0,13528000000.0,3003000000.0
표시통화환산손익,566117000000.0,368198000000.0,-166169000000.0,-22372000000.0
순확정급여부채의 재측정요소,3559000000.0,-10078000000.0,-2664000000.0,4934000000.0
지분법 이익잉여금 변동,6000000.0,-6277000000.0,-458000000.0,-14427000000.0
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),4635000000.0,2400000000.0,-1966000000.0,6407000000.0
지분법자본변동,2297000000.0,3750000000.0,2341000000.0,680000000.0
해외사업장환산외환차이(세후기타포괄손익),2338000000.0,-1350000000.0,-4307000000.0,5727000000.0
총포괄손익,10655401000000.0,5696775000000.0,-33763000000.0,-612290000000.0
지배기업의 소유주에게 귀속되는 당기순이익(손실),10085271000000.0,5337056000000.0,123889000000.0,-589927000000.0
비지배지분에 귀속되는 당기순이익(손실),168000000.0,95000000.0,77000000.0,90000000.0
"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",10655184000000.0,5696643000000.0,-33766000000.0,-612482000000.0
"총 포괄손익, 비지배지분",217000000.0,132000000.0,3000000.0,191000000.0
기본주당이익(손실),20556.0,13506.0,103.0,-2063.0
희석주당이익(손실),9868.0,5191.0,72.0,-2063.0
