Label,2022년,2021년,2020년,2019년
"Ⅰ.순이자이익(주석5,28)",1.31129E+13,1.12296E+13,9.72227E+12,9.19679E+12
1.이자수익,2.07885E+13,1.52109E+13,1.44857E+13,1.46392E+13
기타포괄손익-공정가치측정및상각후원가측정,1.99121E+13,1.46205E+13,1.38264E+13,1.39351E+13
당기손익-공정가치측정금융상품이자수익,8.7639E+11,5.90388E+11,6.59365E+11,7.04063E+11
2.이자비용,-7.67558E+12,-3.98131E+12,-4.76347E+12,-5.4424E+12
"II.순수수료이익(주석5,29)",3.32163E+12,3.62558E+12,2.95894E+12,2.355E+12
1.수수료수익,5.12152E+12,5.32361E+12,4.52702E+12,3.87925E+12
2.수수료비용,-1.79989E+12,-1.69802E+12,-1.56809E+12,-1.52424E+12
"Ⅲ.순보험손익(주석5,38)",6.96513E+11,5.56711E+11,2.99993E+11,2.99512E+11
1.보험수익,1.71368E+13,1.61079E+13,1.43866E+13,1.23172E+13
2.보험비용,-1.64403E+13,-1.55511E+13,-1.40866E+13,-1.20177E+13
"Ⅳ.당기손익-공정가치측정금융상품순손익(주석5,30)",2.47357E+11,9.95304E+11,1.01137E+12,6.43872E+11
1.당기손익조정접근법조정전순손익,-3.59158E+11,1.16098E+12,1.22161E+12,9.12187E+11
2.당기손익조정접근법조정손익,6.06515E+11,-1.65677E+11,-2.10244E+11,-2.68315E+11
"V.기타영업손익(주석5,31)",-2.36579E+12,-1.92357E+12,-1.49993E+12,-1.06332E+12
"VI.일반관리비(주석5,32)",-7.5378E+12,-7.20085E+12,-6.81481E+12,-6.27102E+12
Ⅶ.신용손실충당금반영전영업이익(주석5),7.47484E+12,7.28275E+12,5.67783E+12,5.16083E+12
"VIII.신용손실충당금전입액(주석5,7,11,12,19,24)",-1.83599E+12,-1.18513E+12,-1.0435E+12,-6.70185E+11
IX.영업이익,5.63886E+12,6.09762E+12,4.63433E+12,4.49065E+12
Ⅹ.영업외손익,1.56771E+11,-16011000000,1.4564E+11,43337000000
1.관계기업및공동기업투자손익(주석13),-28758000000,93526000000,-43750000000,16451000000
2.기타영업외손익(주석33),1.85529E+11,-1.09537E+11,1.8939E+11,26886000000
XI.법인세비용차감전순이익,5.79563E+12,6.08161E+12,4.77997E+12,4.53399E+12
XII.법인세비용(주석34),-1.62239E+12,-1.69723E+12,-1.26439E+12,-1.22079E+12
XⅢ.당기순이익(주석5),4.17324E+12,4.38438E+12,3.51558E+12,3.3132E+12
XIV.법인세비용차감후기타포괄손익,-3.51144E+12,2.22758E+11,4.7227E+11,1.52023E+11
후속적으로당기손익으로재분류되지않는포괄손익,-6.52979E+11,8.71654E+11,8.17524E+11,-84633000000
1.순확정급여부채의재측정요소(주석25),2.39702E+11,-45510000000,-13434000000,-55827000000
2.관계기업및공동기업기타포괄손익에대한지분,183000000,51000000,-1000000,-105000000
3.기타포괄손익-공정가치측정지분상품관련손익,-9.31731E+11,9.03398E+11,8.2214E+11,-17329000000
4.당기손익-공정가치지정금융부채신용위험변동손익,38867000000,13715000000,8819000000,-11372000000
후속적으로당기손익으로재분류될수있는포괄손익,-2.85846E+12,-6.48896E+11,-3.45254E+11,2.36656E+11
1.외환차이,1.6453E+11,2.55907E+11,-1.87283E+11,37861000000
2.기타포괄손익-공정가치측정채무상품관련손익,-2.37508E+12,-9.24698E+11,-3.56572E+11,35490000000
3.관계기업및공동기업기타포괄손익에대한지분,-545000000,498000000,-6846000000,7800000000
4.현금흐름위험회피수단의손익(주석9),31474000000,20864000000,-1264000000,-33182000000
5.해외사업장순투자위험회피수단의손익(주석9),-79085000000,-57935000000,64269000000,-8900000000
6.특별계정기타포괄손익,-1.59619E+11,-63814000000,-9683000000,3364000000
7.손익변동성조정손익(주석38),-4.40129E+11,1.20282E+11,1.52125E+11,1.94223E+11
XV.당기총포괄이익,6.61802E+11,4.60714E+12,3.98785E+12,3.46522E+12
당기순이익의귀속(주석5),4.17324E+12,4.38438E+12,3.51558E+12,3.3132E+12
지배기업주주지분순이익,4.39483E+12,4.40954E+12,3.46845E+12,3.31183E+12
비지배지분순이익,-2.21591E+11,-25162000000,47130000000,1371000000
당기총포괄이익의귀속,6.61802E+11,4.60714E+12,3.98785E+12,3.46522E+12
지배기업주주지분총포괄이익,8.69854E+11,4.61055E+12,3.96636E+12,3.46357E+12
비지배지분총포괄이익,-2.08052E+11,-3410000000,21487000000,1655000000
XVI.주당이익(주석37),,,,
기본주당이익,10955,11134,8843,8451
희석주당이익,10705,10890,8730,8389
