Label,2022년,2021년,2020년,2019년
매출액,84750203702240.0,76332345050013.0,57792795732820.0,64366847807959.0
매출원가,77100911278385.0,64451218880639.0,53072389981798.0,58116494431821.0
매출총이익,7649292423855.0,11881126169374.0,4720405751022.0,6250353376138.0
판매비와관리비,2799239408089.0,2643036936497.0,2317370558114.0,2381498817588.0
대손상각비,24790942153.0,40153276444.0,828951262.0,-28105220191.0
기타일반관리비,2479966640397.0,2209809043866.0,1939602401925.0,2041286233586.0
판매및물류비,294481825539.0,393074616187.0,376939204927.0,368317804193.0
영업이익,4850053015766.0,9238089232877.0,2403035192908.0,3868854558550.0
지분법손익,676259957317.0,649569475063.0,133296633959.0,273740796144.0
금융손익,-970455170034.0,-35065430460.0,-214903421022.0,-369920071828.0
금융수익,4834011249269.0,2730110216222.0,2677498609826.0,1872142769903.0
금융비용,5804466419303.0,2765175646682.0,2892402030848.0,2242062841731.0
기타영업외손익,-541491579994.0,-436520495607.0,-296342082141.0,-719397282247.0
기타의대손상각비,-9823679348.0,12975127340.0,-53105065973.0,-80323465433.0
기타영업외수익,592017487230.0,577997130302.0,402336407594.0,450890695824.0
기타영업외비용,1123685387876.0,1027492753249.0,645573423762.0,1089964512638.0
법인세비용차감전순이익,4014366223055.0,9416072781873.0,2025086323704.0,3053278000619.0
법인세비용,-453882684360.0,-2220182818265.0,-236933904464.0,-1070640792106.0
당기순이익(손실),3560483538695.0,7195889963608.0,1788152419240.0,1982637208513.0
기타포괄손익,233874350162.0,817599441408.0,-217948223079.0,146467860231.0
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,,
확정급여제도의 재측정요소,105769394036.0,51154745552.0,36575549341.0,-117151810449.0
지분증권평가손익,-10076390878.0,214888147966.0,-77627330318.0,-10541077689.0
후속적으로 당기손익으로 재분류되는 포괄손익,,,,
지분법자본변동,133134176603.0,165106450002.0,-28609146033.0,66134382394.0
해외사업환산손익,4024405985.0,386141015681.0,-147955884280.0,208116420295.0
파생상품평가손익,1022764416.0,309082207.0,-331411789.0,-90054320.0
총포괄손익,3794357888857.0,8013489405016.0,1570204196161.0,2129105068744.0
지배기업의 소유주지분,3144086508618.0,6617238627273.0,1602147657531.0,1835086521187.0
비지배지분,416397030077.0,578651336335.0,186004761709.0,147550687326.0
지배기업의 소유주지분,3380648673752.0,7384571881404.0,1415132102790.0,1997730707086.0
비지배지분,413709215105.0,628917523612.0,155072093371.0,131374361658.0
기본주당순이익(손실),41456.0,87330.0,20165.0,22823.0
희석주당순이익(손실),39126.0,85377.0,20165.0,22823.0
