Label,2022년,2021년,2020년,2019년
매출액,86559029000000.0,69862366000000.0,59168096000000.0,58145959000000.0
매출원가,68536010000000.0,56937165000000.0,49222564000000.0,48766570000000.0
매출총이익,18023019000000.0,12925201000000.0,9945532000000.0,9379389000000.0
판매비와관리비,10789899000000.0,7859516000000.0,7879075000000.0,7369709000000.0
판매비,6935135000000.0,4578163000000.0,4910714000000.0,4261276000000.0
관리비,3854764000000.0,3281353000000.0,2968361000000.0,3108433000000.0
영업이익,7233120000000.0,5065685000000.0,2066457000000.0,2009680000000.0
공동기업 및 관계기업투자손익,363650000000.0,1168179000000.0,61399000000.0,507105000000.0
금융손익,-57934000000.0,29280000000.0,-82912000000.0,-54471000000.0
금융수익,604430000000.0,356724000000.0,341844000000.0,237802000000.0
금융비용,662364000000.0,327444000000.0,424756000000.0,292273000000.0
기타손익,-36843000000.0,130637000000.0,-203586000000.0,68790000000.0
기타수익,810452000000.0,626537000000.0,601545000000.0,708224000000.0
기타비용,847295000000.0,495900000000.0,805131000000.0,639434000000.0
법인세비용차감전순이익,7501993000000.0,6393781000000.0,1841358000000.0,2531104000000.0
법인세비용,2093017000000.0,1633470000000.0,353773000000.0,704445000000.0
당기순이익,5408976000000.0,4760311000000.0,1487585000000.0,1826659000000.0
지배기업소유주지분순이익,5409429000000.0,4760450000000.0,1487585000000.0,1826659000000.0
비지배지분순손실,-453000000.0,-139000000.0,,
기본주당순이익,13495.0,11874.0,3710.0,4556.0
