Label,2022년,2021년,2020년,2019년
"Ⅰ.순이자손익(주석27,42)",7.61651E+12,6.12842E+12,5.61515E+12,5.75199E+12
1.이자수익,1.25329E+13,8.68946E+12,8.65389E+12,9.48853E+12
가.당기손익금융자산이자수익,1.96581E+11,1.21215E+11,1.35969E+11,1.52958E+11
나.기타포괄손익과상각후원가금융자산이자수익,1.23364E+13,8.56825E+12,8.51792E+12,9.33557E+12
2.이자비용,-4.91644E+12,-2.56104E+12,-3.03874E+12,-3.73654E+12
"Ⅱ.순수수료손익(주석28,42)",5.70429E+11,6.31549E+11,5.63836E+11,5.14232E+11
1.수수료수익,9.03736E+11,9.76754E+11,8.99434E+11,8.83078E+11
2.수수료비용,-3.33307E+11,-3.45205E+11,-3.35598E+11,-3.68846E+11
Ⅲ.당기손익금융상품관련순손익(주석29),2.18747E+11,5.05049E+11,3.09374E+11,3.87188E+11
Ⅳ.당기손익인식지정금융상품관련순손익(주석29),22810000000,-15450000000,-40701000000,-1.35939E+11
Ⅴ.위험회피회계관련순손익(주석8),-75103000000,-70296000000,72096000000,8466000000
Ⅵ.상각후원가금융자산처분손익,1.87232E+11,2.51537E+11,1.91041E+11,1.45584E+11
Ⅶ.기타포괄손익금융자산관련순손익(주석30),56078000000,94229000000,1.50361E+11,1.14934E+11
Ⅷ.보험손익(주석37),-1.98375E+11,-1.46559E+11,-1.27114E+11,-1.16831E+11
Ⅸ.외환거래손익,3.36294E+11,1.4443E+11,2.24467E+11,1.79632E+11
X.총영업이익,8.73462E+12,7.52291E+12,6.95851E+12,6.84925E+12
"XI.금융자산손상차손(주석5,6,7,14,42)",-1.4848E+12,-9.40428E+11,-1.52874E+12,-1.53012E+12
XII.순영업이익,7.24983E+12,6.58248E+12,5.42977E+12,5.31913E+12
XIII.일반관리비(주석31),-2.61794E+12,-2.59894E+12,-2.42998E+12,-2.40946E+12
XIV.기타영업수익(주석32),2.94151E+11,3.80575E+11,2.67478E+11,2.49937E+11
XV.기타영업비용(주석33),-1.25159E+12,-1.13979E+12,-1.12479E+12,-9.1296E+11
XVI.당기손익조정접근법조정손익(주석37),1.0039E+11,6978000000,-16966000000,-18739000000
XVII.영업이익,3.77484E+12,3.23131E+12,2.12552E+12,2.22792E+12
XVIII.영업외손익(주석34),-34067000000,86599000000,-38605000000,12322000000
XIX.법인세비용차감전순이익,3.74077E+12,3.31791E+12,2.08691E+12,2.24024E+12
XX.법인세비용(주석13),-9.59966E+11,-8.91968E+11,-5.38993E+11,-6.25976E+11
XXI.연결당기순이익,2.7808E+12,2.42594E+12,1.54792E+12,1.61426E+12
XXII.법인세비용차감후연결기타포괄손익,-5.41728E+11,-40825000000,-40157000000,12994000000
1.당기손익으로재분류되지않는항목,88888000000,33360000000,-29686000000,-57413000000
가.당기손익지정금융부채평가손익변동(주석24),-581000000,46000000,-239000000,160000000
"나.기타포괄손익지분증권평가손익변동(주석5,24)",-34612000000,-39933000000,-73563000000,-24601000000
"다.순확정급여부채(자산)의재측정요소(주석18,24)",1.24081E+11,73247000000,44116000000,-32972000000
2.후속적으로당기손익으로재분류되는항목,-6.30616E+11,-74185000000,-10471000000,70407000000
"가.기타포괄손익채무증권평가손익변동(주석5,24)",-5.14378E+11,-1.50482E+11,283000000,35957000000
"나.관계기업투자에대한기타포괄손익의변동(주석9,24)",-2687000000,-2646000000,4151000000,1941000000
다.외환차이(주석24),6435000000,1.29193E+11,-37821000000,27705000000
"라.현금흐름위험회피평가손익변동(주석8,24)",-12145000000,-10210000000,-6091000000,-836000000
"마.해외사업장순투자위험회피평가손익변동(주석8,24)",-31170000000,-35338000000,16615000000,-9609000000
"바.당기손익조정접근법조정손익(주석24,37)",-76671000000,-4702000000,12392000000,15249000000
XXIII.연결총포괄이익,2.23908E+12,2.38512E+12,1.50776E+12,1.62726E+12
연결당기순이익의귀속,2.7808E+12,2.42594E+12,1.54792E+12,1.61426E+12
지배기업주주지분당기순이익,2.77377E+12,2.41246E+12,1.53571E+12,1.60585E+12
비지배지분당기순이익,7034000000,13482000000,12213000000,8414000000
연결총포괄이익의귀속,2.23908E+12,2.38512E+12,1.50776E+12,1.62726E+12
지배기업주주지분총포괄이익,2.23206E+12,2.37113E+12,1.49582E+12,1.61913E+12
비지배지분총포괄이익,7016000000,13990000000,11939000000,8129000000
XXIV.지배기업주주지분에대한주당이익(단위:원)(주석38),,,,
기본주당이익,3320000000,2877000000,1977000000,2242000000
희석주당이익,3320000000,2877000000,1977000000,2242000000
