Label,2022년,2021년,2020년,2019년
수익(매출액),302231360000000.0,279604799000000.0,236806988000000.0,230400881000000.0
매출원가,190041770000000.0,166411342000000.0,144488296000000.0,147239549000000.0
매출총이익,112189590000000.0,113193457000000.0,92318692000000.0,83161332000000.0
판매비와관리비,68812960000000.0,61559601000000.0,56324816000000.0,55392823000000.0
영업이익,43376630000000.0,51633856000000.0,35993876000000.0,27768509000000.0
기타수익,1962071000000.0,2205695000000.0,1384068000000.0,1778666000000.0
기타비용,1790176000000.0,2055971000000.0,2488902000000.0,1414707000000.0
지분법이익,1090643000000.0,729614000000.0,506530000000.0,412960000000.0
금융수익,20828995000000.0,8543187000000.0,12267600000000.0,10161632000000.0
금융비용,19027689000000.0,7704554000000.0,11318055000000.0,8274871000000.0
법인세비용차감전순이익(손실),46440474000000.0,53351827000000.0,36345117000000.0,30432189000000.0
법인세비용,-9213603000000.0,13444377000000.0,9937285000000.0,8693324000000.0
계속영업이익(손실),55654077000000.0,39907450000000.0,26407832000000.0,21738865000000.0
당기순이익(손실),55654077000000.0,39907450000000.0,26407832000000.0,21738865000000.0
지배기업의 소유주에게 귀속되는 당기순이익(손실),54730018000000.0,39243791000000.0,26090846000000.0,21505054000000.0
비지배지분에 귀속되는 당기순이익(손실),924059000000.0,663659000000.0,316986000000.0,233811000000.0
기본주당이익(손실),8057.0,5777.0,3841.0,3166.0
희석주당이익(손실),8057.0,5777.0,3841.0,3166.0
