Label,2022년,2021년,2020년,2019년
Ⅰ.영업이익,5888079000000.0,5952096000000.0,4929736000000.0,5046250000000.0
(1)순이자손익,12463681000000.0,10769325000000.0,9882700000000.0,9737964000000.0
1.이자수익,20108666000000.0,14724230000000.0,14773996000000.0,15707362000000.0
1)기타포괄손익-공정가치측정및,19167750000000.0,14027418000000.0,13943159000000.0,14878516000000.0
2)당기손익-공정가치측정금융자산,940916000000.0,696812000000.0,830837000000.0,828846000000.0
2.이자비용,-7644985000000.0,-3954905000000.0,-4891296000000.0,-5969398000000.0
(2)순수수료손익,2525566000000.0,2674997000000.0,2382933000000.0,2140519000000.0
1.수수료수익,4110576000000.0,4139885000000.0,3814474000000.0,3557013000000.0
2.수수료비용,-1585010000000.0,-1464888000000.0,-1431541000000.0,-1416494000000.0
(3)보험손익,-827233000000.0,-775386000000.0,-603932000000.0,-496926000000.0
1.보험수익,6890905000000.0,6484523000000.0,7247753000000.0,7569425000000.0
2.보험비용,-7718138000000.0,-7259909000000.0,-7851685000000.0,-8066351000000.0
(4)배당수익,142529000000.0,124531000000.0,97956000000.0,82158000000.0
(5)당기손익-공정가치측정금융상품관련손익,-304113000000.0,1103631000000.0,272830000000.0,1385482000000.0
(6)당기손익-공정가치측정금융상품관련손익,313211000000.0,43003000000.0,-136255000000.0,-247585000000.0
(7)당기손익-공정가치측정지정금융상품관련손익,576942000000.0,-88301000000.0,198239000000.0,-846046000000.0
(8)외환거래손익,180304000000.0,222819000000.0,526615000000.0,440948000000.0
(9)기타포괄손익-공정가치측정유가증권처분손익,-127393000000.0,85596000000.0,273793000000.0,152278000000.0
(10)상각후원가측정유가증권처분손익,-101000000.0,-319000000.0,-25000000.0,66000000.0
(11)신용손실충당금전입액,-1292296000000.0,-974685000000.0,-1382179000000.0,-980692000000.0
(12)일반관리비,-6013514000000.0,-5743088000000.0,-5212473000000.0,-5134674000000.0
(13)기타영업손익,-1749504000000.0,-1490027000000.0,-1370466000000.0,-1187242000000.0
Ⅱ.관계기업이익에대한지분,121697000000.0,158600000000.0,159533000000.0,53287000000.0
Ⅲ.기타영업외손익,339475000000.0,-527032000000.0,-335398000000.0,-188029000000.0
Ⅳ.법인세비용차감전순이익,6349251000000.0,5583664000000.0,4753871000000.0,4911508000000.0
Ⅴ.법인세비용,1617088000000.0,1471036000000.0,1255795000000.0,1269124000000.0
Ⅵ.당기순이익,4732163000000.0,4112628000000.0,3498076000000.0,3642384000000.0
Ⅶ.기타포괄손익,-2598032000000.0,-617789000000.0,-173844000000.0,565910000000.0
후속적으로당기손익으로재분류되는포괄손익:,-2852536000000.0,-664286000000.0,-171745000000.0,615963000000.0
(1)기타포괄손익-공정가치측정유가증권평가손익,-2447712000000.0,-879671000000.0,-86784000000.0,352085000000.0
(2)당기손익-공정가치측정금융상품관련손익_,-220097000000.0,-20098000000.0,90298000000.0,162967000000.0
(3)관계기업의기타포괄손익에대한지분,-15758000000.0,2748000000.0,-3318000000.0,3302000000.0
(4)해외사업환산손익,14732000000.0,252308000000.0,-161365000000.0,105771000000.0
(5)현금흐름위험회피평가손익,-70494000000.0,21700000000.0,-14460000000.0,-18589000000.0
(6)특별계정기타포괄손익,-113207000000.0,-41273000000.0,3884000000.0,10427000000.0
후속적으로당기손익으로재분류되지않는포괄손익:,254504000000.0,46497000000.0,-2099000000.0,-50053000000.0
(1)순확정급여부채(자산)의재측정요소,251991000000.0,43277000000.0,15812000000.0,-54644000000.0
(2)관계기업의기타포괄손익에대한지분,-5000000.0,-2000000.0,-10000000.0,-8000000.0
(3)기타포괄손익-공정가치측정유가증권평가손익,5133000000.0,35441000000.0,6841000000.0,18885000000.0
(4)기타포괄손익-공정가치측정유가증권처분손익,2134000000.0,-29421000000.0,-27826000000.0,-5861000000.0
(5)당기손익-공정가치측정지정금융부채의,-4749000000.0,-2798000000.0,3084000000.0,-8425000000.0
Ⅷ.총포괄이익,2134131000000.0,3494839000000.0,3324232000000.0,4208294000000.0
Ⅸ.당기순이익의귀속,4732163000000.0,4112628000000.0,3498076000000.0,3642384000000.0
(1)지배기업소유주지분,4642292000000.0,4019254000000.0,3414595000000.0,3403497000000.0
(2)비지배지분,89871000000.0,93374000000.0,83481000000.0,238887000000.0
Ⅹ.총포괄이익의귀속,2134131000000.0,3494839000000.0,3324232000000.0,4208294000000.0
(1)지배기업소유주지분,2045190000000.0,3402925000000.0,3242745000000.0,3890701000000.0
(2)비지배지분,88941000000.0,91914000000.0,81487000000.0,317593000000.0
XI.주당이익,,,,
기본및희석주당이익,8454.0,7308.0,6654.0,7000.0
