Label,2022년,2021년,2020년,2019년
Ⅰ.영업이익,4430524000000.0,3659749000000.0,2080394000000.0,2799976000000.0
"1.순이자이익(주석11,30,41)",8696579000000.0,6985721000000.0,5998512000000.0,5893706000000.0
(1)이자수익,14654549000000.0,9894749000000.0,9523853000000.0,10576770000000.0
당기손익-공정가치측정금융자산이자수익,106698000000.0,45803000000.0,48612000000.0,50619000000.0
기타포괄손익-공정가치측정금융자산이자수익,632615000000.0,381814000000.0,437527000000.0,474751000000.0
상각후원가측정금융자산이자수익,13915236000000.0,9467132000000.0,9037714000000.0,10051400000000.0
(2)이자비용,-5957970000000.0,-2909028000000.0,-3525341000000.0,-4683064000000.0
"2.순수수료이익(주석11,31,41)",1710170000000.0,1470775000000.0,1014039000000.0,1102628000000.0
(1)수수료수익,2499700000000.0,2171705000000.0,1694016000000.0,1709326000000.0
(2)수수료비용,-789530000000.0,-700930000000.0,-679977000000.0,-606698000000.0
"3.배당수익(주석11,32,41)",159982000000.0,309211000000.0,138543000000.0,107959000000.0
"4.당기손익-공정가치측정금융상품관련손익(주석11,33,41)",238502000000.0,325751000000.0,421709000000.0,25455000000.0
"5.기타포괄손익-공정가치측정금융자산관련손익(주석11,34)",-21498000000.0,32624000000.0,24138000000.0,11015000000.0
6.상각후원가측정금융자산매매손익(주석11),74204000000.0,107317000000.0,44443000000.0,102115000000.0
"7.신용손실에대한손상차손(주석35,41)",-885272000000.0,-536838000000.0,-784371000000.0,-374244000000.0
"8.일반관리비(주석36,41)",-4529890000000.0,-4147411000000.0,-3956181000000.0,-3766077000000.0
"9.기타영업손익(주석11,26,36,41)",-1012253000000.0,-887401000000.0,-820438000000.0,-302581000000.0
Ⅱ.영업외손익(주석37),54850000000.0,89492000000.0,-79143000000.0,-76927000000.0
1.공동기업및관계기업투자자산평가손익(주석13),69996000000.0,62196000000.0,101077000000.0,83997000000.0
2.기타영업외손익,-15146000000.0,27296000000.0,-180220000000.0,-160924000000.0
Ⅲ.법인세비용차감전순이익,4485374000000.0,3749241000000.0,2001251000000.0,2723049000000.0
Ⅳ.법인세비용(주석38),-1161392000000.0,-941870000000.0,-486002000000.0,-685453000000.0
Ⅴ.당기순이익,3323982000000.0,2807371000000.0,1515249000000.0,2037596000000.0
Ⅵ.기타포괄손익,-239819000000.0,170181000000.0,-82207000000.0,51782000000.0
1.후속적으로당기손익으로재분류되지않는항목,216767000000.0,96529000000.0,54964000000.0,-92777000000.0
(1)기타포괄손익-공정가치측정지분증권평가손익,-30146000000.0,34069000000.0,47246000000.0,-58129000000.0
(2)지분법자본변동,-4527000000.0,-2607000000.0,-2065000000.0,
(3)확정급여제도의재측정요소,251440000000.0,65067000000.0,9783000000.0,-34648000000.0
2.후속적으로당기손익으로재분류될수있는항목,-456586000000.0,73652000000.0,-137171000000.0,144559000000.0
(1)기타포괄손익-공정가치측정채무증권평가손익,-463725000000.0,-184396000000.0,12114000000.0,43988000000.0
(2)지분법자본변동,5139000000.0,4133000000.0,-233000000.0,613000000.0
(3)해외사업환산손익,32536000000.0,246808000000.0,-153472000000.0,101781000000.0
(4)해외사업장순투자위험회피평가손익,-20701000000.0,,,25455000000.0
(5)현금흐름위험회피평가손익,-9835000000.0,7107000000.0,4420000000.0,-1823000000.0
Ⅶ.총포괄이익,3084163000000.0,2977552000000.0,1433042000000.0,2089378000000.0
1.당기순이익의귀속,3323982000000.0,2807371000000.0,1515249000000.0,2037596000000.0
(1)지배기업소유주지분,3141680000000.0,2587936000000.0,1307266000000.0,1872207000000.0
(2)비지배지분,182302000000.0,219435000000.0,207983000000.0,165389000000.0
2.총포괄이익의귀속,3084163000000.0,2977552000000.0,1433042000000.0,2089378000000.0
(1)지배기업소유주지분,2909053000000.0,2745764000000.0,1233097000000.0,1914393000000.0
(2)비지배지분,175110000000.0,231788000000.0,199945000000.0,174985000000.0
Ⅷ.주당이익(주석39),,,,
1.기본및희석주당이익(단위:원),4191.0,3481.0,1742.0,2727.0
