Label,2022년,2021년,2020년,2019년
I.순이자손익,8919763000000.0,7437205000000.0,6439878000000.0,5773706000000.0
1.이자수익,15876580000000.0,10867491000000.0,10705196000000.0,11118155000000.0
2.이자비용,-6956817000000.0,-3430286000000.0,-4265318000000.0,-5344449000000.0
II.순수수료손익,1754919000000.0,1741717000000.0,1534183000000.0,1991469000000.0
1.수수료수익,2735800000000.0,2653186000000.0,2596945000000.0,3015061000000.0
2.수수료비용,-980881000000.0,-911469000000.0,-1062762000000.0,-1023592000000.0
III.당기손익-공정가치측정금융상품관련순손익,273599000000.0,789984000000.0,595931000000.0,1485129000000.0
IV.기타포괄손익-공정가치측정금융자산관련순손익,17146000000.0,104548000000.0,358076000000.0,65773000000.0
V.상각후원가측정금융자산처분손익,61066000000.0,76830000000.0,70168000000.0,55520000000.0
VI.위험회피회계파생상품관련손익,-67719000000.0,-51735000000.0,25767000000.0,-7731000000.0
VII.외환거래손익,516085000000.0,38322000000.0,286721000000.0,355460000000.0
VIII.총영업이익,11474859000000.0,10136871000000.0,9534819000000.0,8857837000000.0
IX.신용손실충당금전입액,-1186798000000.0,-533218000000.0,-870939000000.0,-540812000000.0
X.순영업이익,10288061000000.0,9603653000000.0,8663880000000.0,8317025000000.0
XI.일반관리비,-4432949000000.0,-4050460000000.0,-3917656000000.0,-4107021000000.0
XII.기타영업수익,2101877000000.0,1587197000000.0,1179797000000.0,896514000000.0
XIII.기타영업비용,-3266677000000.0,-2509294000000.0,-2089599000000.0,-1847838000000.0
XIV.영업손익,4690312000000.0,4631096000000.0,3836422000000.0,3258680000000.0
XV.영업외손익,253754000000.0,273829000000.0,-107188000000.0,149467000000.0
1.지분법이익,233166000000.0,130980000000.0,45668000000.0,-22447000000.0
2.기타수익,261784000000.0,558348000000.0,357532000000.0,581201000000.0
3.기타비용,-241196000000.0,-415499000000.0,-510388000000.0,-409287000000.0
XVI.법인세비용차감전순이익,4944066000000.0,4904925000000.0,3729234000000.0,3408147000000.0
XVII.법인세비용,-1322872000000.0,-1323343000000.0,-1044356000000.0,-982525000000.0
XVIII.연결당기순이익,3621194000000.0,3581582000000.0,2684878000000.0,2425622000000.0
XIX.기타포괄손익,-997923000000.0,62539000000.0,-156181000000.0,-6227000000.0
1.후속적으로당기손익으로재분류되는항목,-936516000000.0,27642000000.0,-156070000000.0,303269000000.0
기타포괄손익-공정가치측정채무증권평가손익,-900173000000.0,-405131000000.0,3009000000.0,207399000000.0
해외사업장환산외환차이,5992000000.0,292027000000.0,-144057000000.0,101653000000.0
지분법자본변동,-1366000000.0,181108000000.0,-37134000000.0,15343000000.0
순투자위험회피평가손익,-20529000000.0,-40788000000.0,26546000000.0,-18816000000.0
현금흐름위험회피평가손익,-3864000000.0,2234000000.0,-3814000000.0,23000000.0
특별계정기타포괄손익,-16576000000.0,-1808000000.0,-620000000.0,2000000.0
2.후속적으로당기손익으로재분류되지않는항목,-61407000000.0,34897000000.0,,
기타포괄손익-공정가치측정지분증권평가손익,-56142000000.0,18208000000.0,19730000000.0,-123491000000.0
당기손익-공정가치측정항목지정금융부채신용위험,-7675000000.0,-10356000000.0,-5436000000.0,-12242000000.0
공정가치위험회피수단평가손익,-11861000000.0,-14138000000.0,10121000000.0,-2335000000.0
지분법자본변동,-14676000000.0,1534000000.0,,15343000000.0
확정급여제도의재측정요소,28947000000.0,39649000000.0,-24526000000.0,-173763000000.0
XX.연결당기총포괄이익,2623271000000.0,3644121000000.0,2528697000000.0,2419395000000.0
XXI.연결당기순이익의귀속,3621194000000.0,3581582000000.0,,
1.지배기업소유주지분,3552391000000.0,3526068000000.0,2637242000000.0,2391584000000.0
2.비지배지분,68803000000.0,55514000000.0,47636000000.0,34038000000.0
XXII.연결당기총포괄이익의귀속,2623271000000.0,3644121000000.0,,
1.지배기업소유주지분,2565362000000.0,3570890000000.0,2495247000000.0,2377125000000.0
2.비지배지분,57909000000.0,73231000000.0,33450000000.0,42270000000.0
XXIII.주당이익,,,,
기본주당이익,11803.0,11819.0,8858.0,7898.000000000001
희석주당이익,11803.0,11819.0,8858.0,7877.0
