Label,2022년,2021년,2020년,2019년
매출액,51906293000000.0,41702184000000.0,36626504000000.0,38048768000000.0
매출원가,45919139000000.0,36437646000000.0,31922266000000.0,32819599000000.0
매출총이익,5987154000000.0,5264538000000.0,4704238000000.0,5229169000000.0
판매비와관리비,3960623000000.0,3224426000000.0,2873946000000.0,2869912000000.0
영업이익,2026531000000.0,2040112000000.0,1830292000000.0,2359257000000.0
기타수익,481942000000.0,362499000000.0,257947000000.0,243458000000.0
기타비용,483991000000.0,237539000000.0,367029000000.0,240640000000.0
금융수익,784891000000.0,339372000000.0,457422000000.0,358902000000.0
금융비용,668331000000.0,232147000000.0,438657000000.0,215577000000.0
관계기업및공동기업투자관련이익,1221570000000.0,922245000000.0,378005000000.0,708894000000.0
법인세비용차감전순이익,3362612000000.0,3194542000000.0,2117980000000.0,3214294000000.0
법인세비용,875368000000.0,832068000000.0,591130000000.0,919983000000.0
당기순이익,2487244000000.0,2362474000000.0,1526850000000.0,2294311000000.0
지배기업소유주지분 순이익,2485254000000.0,2352288000000.0,1529146000000.0,2290670000000.0
비지배지분 순이익,1990000000.0,10186000000.0,-2296000000.0,3641000000.0
기본주당이익,27163.0,25645.0,16389.0,24234.0
